epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.366,1.22696,3.77833,1.24613,0.00284,0.81168,0.2468,0.1642,1.03668,4.21628,1.13571,0.0003334,0.0003334,0.0003334
2,227.341,1.16539,3.04641,1.16605,0.8715,0.15789,0.30317,0.18429,1.23032,4.29572,1.30162,0.000660915,0.000660915,0.000660915
3,344.807,1.21459,2.79538,1.20546,0.00262,0.75411,0.22425,0.11926,1.36627,4.46136,1.41041,0.000965326,0.000965326,0.000965326
4,441.446,1.23662,2.68977,1.20763,0.78482,0.26687,0.35107,0.21959,1.40539,4.14345,1.40165,0.00124663,0.00124663,0.00124663
5,533.621,1.15619,2.50036,1.15147,0.76194,0.27303,0.34896,0.21961,1.55838,3.91915,1.46747,0.00144696,0.00144696,0.00144696
6,621.362,1.19178,2.45108,1.21934,0.92864,0.14018,0.22531,0.15779,1.57458,4.09079,1.50615,0.00139195,0.00139195,0.00139195
7,710.212,1.24371,2.47851,1.2201,0.67177,0.22795,0.22685,0.1545,1.88633,4.07446,1.65349,0.00133693,0.00133693,0.00133693
8,801.351,1.23583,2.32482,1.2489,0.81455,0.21709,0.29968,0.17694,1.81857,3.79842,1.62442,0.00128192,0.00128192,0.00128192
9,891.875,1.19504,2.3303,1.25171,0.80749,0.35115,0.49786,0.2899,1.59508,3.21991,1.43049,0.00122691,0.00122691,0.00122691
10,975.364,1.1546,2.1598,1.16894,0.60684,0.50247,0.55013,0.35115,1.41695,2.82352,1.42241,0.0011719,0.0011719,0.0011719
11,1052.3,1.19707,2.26263,1.23942,0.54911,0.40872,0.39495,0.24884,1.38079,2.91287,1.37436,0.00111689,0.00111689,0.00111689
12,1144.48,1.16716,2.04342,1.20792,0.78384,0.45342,0.55961,0.36935,1.2809,2.56042,1.33867,0.00106188,0.00106188,0.00106188
13,1232.28,1.12243,1.86052,1.17076,0.74241,0.44984,0.56015,0.40283,1.26942,2.6107,1.35236,0.00100687,0.00100687,0.00100687
14,1320.36,1.0522,1.74947,1.14039,0.55962,0.53865,0.599,0.42451,1.15605,2.49124,1.28959,0.000951857,0.000951857,0.000951857
15,1410.85,1.0331,1.67175,1.117,0.6042,0.51809,0.53894,0.38513,1.30577,2.52385,1.37664,0.000896846,0.000896846,0.000896846
16,1493.13,1.01972,1.61818,1.11153,0.76154,0.56577,0.64016,0.46847,1.2704,2.37186,1.32069,0.000841835,0.000841835,0.000841835
17,1580.42,0.96734,1.65692,1.0847,0.71264,0.5699,0.66827,0.4493,1.21163,2.34618,1.2794,0.000786824,0.000786824,0.000786824
18,1669.63,0.95351,1.57292,1.08208,0.66352,0.66504,0.68006,0.47157,1.21035,2.39477,1.24329,0.000731813,0.000731813,0.000731813
19,1765.78,0.96163,1.49998,1.0828,0.8321,0.66866,0.73287,0.54107,1.07501,2.0557,1.15395,0.000676802,0.000676802,0.000676802
20,1848.58,0.86296,1.40428,1.0157,0.846,0.65461,0.70703,0.52608,1.07242,2.10354,1.16815,0.000621791,0.000621791,0.000621791
21,1922.85,0.81716,1.53805,1.04561,0.9412,0.63824,0.72705,0.54895,1.05334,2.16922,1.15704,0.00056678,0.00056678,0.00056678
22,2010.15,0.79057,1.55972,0.98456,0.88947,0.64588,0.74946,0.56582,1.02694,2.10019,1.14894,0.000511769,0.000511769,0.000511769
23,2098.05,0.78336,1.41903,1.03114,0.80309,0.68088,0.75701,0.57518,1.00074,1.79213,1.11311,0.000456758,0.000456758,0.000456758
24,2190.87,0.78024,1.39438,0.99933,0.83863,0.61266,0.73449,0.56093,1.01116,1.86308,1.12862,0.000401747,0.000401747,0.000401747
25,2281.11,0.72171,1.32798,0.95345,0.86198,0.56003,0.70727,0.54411,0.96289,1.84843,1.08745,0.000346736,0.000346736,0.000346736
26,2374.12,0.69338,1.2871,0.98053,0.86603,0.60768,0.73168,0.56285,0.95418,1.79324,1.08259,0.000291725,0.000291725,0.000291725
27,2466.35,0.67654,1.24891,0.9548,0.90172,0.62369,0.80563,0.60304,0.95494,1.67945,1.09338,0.000236714,0.000236714,0.000236714
28,2551.54,0.6559,1.18586,0.91913,0.86006,0.70288,0.83003,0.64603,0.93528,1.61773,1.08078,0.000181703,0.000181703,0.000181703
29,2639.21,0.64105,1.16344,0.95303,0.8329,0.69012,0.83414,0.64825,0.90498,1.58954,1.06804,0.000126692,0.000126692,0.000126692
30,2739.79,0.63043,1.14456,0.92828,0.85547,0.69526,0.83868,0.67085,0.87794,1.54612,1.05446,7.1681e-05,7.1681e-05,7.1681e-05
